Comment,Designator,Footprint,LCSC
M5 2x15 pin,J1,PinHeader_2x15_P2.54mm_Vertical,
QI GND,J10,PinHeader_1x02_P2.54mm_Vertical,
GPS,J3,PinSocket_1x06_P2.54mm_Vertical,
SW_SPDT,SW1,EG1206,
QI Plus,J9,PinHeader_1x02_P2.54mm_Vertical,
MountingHole_Pad,H4,MountingHole_3.2mm_M3,
Extra support header,J5,PinHeader_1x02_P2.54mm_Vertical,
Geiger Safepulse,J4,PinHeader_1x03_P2.54mm_Vertical,
Geiger IRover,J2,PinHeader_1x03_P2.54mm_Vertical,
QI charger Plus,J11,PinHeader_1x02_P2.54mm_Vertical_4056,
MountingHole_Pad,H6,MountingHole_3.2mm_M3,
Grove,J6,PinSocket_1x04_P2.00mm_Horizontal,
QI charger ground,J8,PinHeader_1x02_P2.54mm_Vertical,
 3.7 V Lipo,BT1,BATTERY_18650-HOLDER,
